category,crime_count,year,month,time
Theft FROM Vehicle,1094,2022,7,2022-07-01
Theft FROM Vehicle,1143,2022,8,2022-08-01
Theft FROM Vehicle,979,2022,9,2022-09-01
Theft FROM Vehicle,947,2022,10,2022-10-01
Theft FROM Vehicle,846,2022,11,2022-11-01
Theft FROM Vehicle,817,2022,12,2022-12-01
Theft FROM Vehicle,880,2023,1,2023-01-01
Theft FROM Vehicle,764,2023,2,2023-02-01
Theft FROM Vehicle,873,2023,3,2023-03-01
Theft FROM Vehicle,818,2023,4,2023-04-01
Theft FROM Vehicle,886,2023,5,2023-05-01
Theft FROM Vehicle,914,2023,6,2023-06-01
Theft FROM Vehicle,856,2023,7,2023-07-01
Theft FROM Vehicle,751,2023,8,2023-08-01
Theft FROM Vehicle,710,2023,9,2023-09-01
Theft FROM Vehicle,611,2023,10,2023-10-01
Theft FROM Vehicle,619,2023,11,2023-11-01
Theft FROM Vehicle,563,2023,12,2023-12-01
Theft FROM Vehicle,448,2024,1,2024-01-01
Theft FROM Vehicle,452,2024,2,2024-02-01
Theft FROM Vehicle,423,2024,3,2024-03-01
Theft FROM Vehicle,543,2024,4,2024-04-01
Theft FROM Vehicle,563,2024,5,2024-05-01
Theft FROM Vehicle,572,2024,6,2024-06-01
Theft FROM Vehicle,563,2024,7,2024-07-01
Theft FROM Vehicle,506,2024,8,2024-08-01
Theft FROM Vehicle,502,2024,9,2024-09-01
Theft FROM Vehicle,120,2024,10,2024-10-01
Theft OF Vehicle,600,2018,1,2018-01-01
Theft OF Vehicle,553,2018,2,2018-02-01
Theft OF Vehicle,504,2018,3,2018-03-01
Theft OF Vehicle,515,2018,4,2018-04-01
Theft OF Vehicle,458,2018,5,2018-05-01
Theft OF Vehicle,421,2018,6,2018-06-01
Theft OF Vehicle,594,2018,7,2018-07-01
Theft OF Vehicle,508,2018,8,2018-08-01
Theft OF Vehicle,492,2018,9,2018-09-01
Theft OF Vehicle,482,2018,10,2018-10-01
Theft OF Vehicle,457,2018,11,2018-11-01
Theft OF Vehicle,500,2018,12,2018-12-01
Theft OF Vehicle,461,2019,1,2019-01-01
Theft OF Vehicle,467,2019,2,2019-02-01
Theft OF Vehicle,437,2019,3,2019-03-01
Theft OF Vehicle,441,2019,4,2019-04-01
Theft OF Vehicle,487,2019,5,2019-05-01
Theft OF Vehicle,471,2019,6,2019-06-01
Theft OF Vehicle,630,2019,7,2019-07-01
Theft OF Vehicle,567,2019,8,2019-08-01
Theft OF Vehicle,651,2019,9,2019-09-01
Theft OF Vehicle,515,2019,10,2019-10-01
Theft OF Vehicle,511,2019,11,2019-11-01
Theft OF Vehicle,444,2019,12,2019-12-01
Theft OF Vehicle,512,2020,1,2020-01-01
Theft OF Vehicle,451,2020,2,2020-02-01
Theft OF Vehicle,469,2020,3,2020-03-01
Theft OF Vehicle,428,2020,4,2020-04-01
Theft OF Vehicle,260,2020,5,2020-05-01
Theft OF Vehicle,297,2020,6,2020-06-01
Theft OF Vehicle,362,2020,7,2020-07-01
Theft OF Vehicle,389,2020,8,2020-08-01
Theft OF Vehicle,415,2020,9,2020-09-01
Theft OF Vehicle,418,2020,10,2020-10-01
Theft OF Vehicle,357,2020,11,2020-11-01
Theft OF Vehicle,361,2020,12,2020-12-01
Theft OF Vehicle,442,2021,1,2021-01-01
Theft OF Vehicle,382,2021,2,2021-02-01
Theft OF Vehicle,326,2021,3,2021-03-01
Theft OF Vehicle,355,2021,4,2021-04-01
Theft OF Vehicle,318,2021,5,2021-05-01
Theft OF Vehicle,326,2021,6,2021-06-01
Theft OF Vehicle,401,2021,7,2021-07-01
Theft OF Vehicle,377,2021,8,2021-08-01
Theft OF Vehicle,377,2021,9,2021-09-01
Theft OF Vehicle,355,2021,10,2021-10-01
Theft OF Vehicle,391,2021,11,2021-11-01
Theft OF Vehicle,462,2021,12,2021-12-01
Theft OF Vehicle,483,2022,1,2022-01-01
Theft OF Vehicle,462,2022,2,2022-02-01
Theft OF Vehicle,552,2022,3,2022-03-01
Theft OF Vehicle,440,2022,4,2022-04-01
Theft OF Vehicle,469,2022,5,2022-05-01
Theft OF Vehicle,454,2022,6,2022-06-01
Theft OF Vehicle,450,2022,7,2022-07-01
Theft OF Vehicle,546,2022,8,2022-08-01
Theft OF Vehicle,362,2022,9,2022-09-01
Theft OF Vehicle,443,2022,10,2022-10-01
Theft OF Vehicle,403,2022,11,2022-11-01
Theft OF Vehicle,460,2022,12,2022-12-01
Theft OF Vehicle,430,2023,1,2023-01-01
Theft OF Vehicle,350,2023,2,2023-02-01
Theft OF Vehicle,445,2023,3,2023-03-01
Theft OF Vehicle,328,2023,4,2023-04-01
Theft OF Vehicle,373,2023,5,2023-05-01
Theft OF Vehicle,382,2023,6,2023-06-01
Theft OF Vehicle,386,2023,7,2023-07-01
Theft OF Vehicle,364,2023,8,2023-08-01
Theft OF Vehicle,402,2023,9,2023-09-01
Theft OF Vehicle,357,2023,10,2023-10-01
Theft OF Vehicle,343,2023,11,2023-11-01
Theft OF Vehicle,375,2023,12,2023-12-01
Theft OF Vehicle,376,2024,1,2024-01-01
Theft OF Vehicle,324,2024,2,2024-02-01
Theft OF Vehicle,340,2024,3,2024-03-01
Theft OF Vehicle,337,2024,4,2024-04-01
Theft OF Vehicle,305,2024,5,2024-05-01
Theft OF Vehicle,320,2024,6,2024-06-01
Theft OF Vehicle,381,2024,7,2024-07-01
Theft OF Vehicle,332,2024,8,2024-08-01
Theft OF Vehicle,327,2024,9,2024-09-01
Theft OF Vehicle,146,2024,10,2024-10-01
